restaurant_name,food_item,description,special_price,special_from,special_to,packaging_charge,max_packaging_charge,price,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DRUNKEN MONKEY,Red Sunflower Smoothie Bowl Lite,"An exquisite bowl of strawberries, beetroot, pomegranate, blended with apple, banana, pineapple, coconut milk, topped with sunflower seeds, kiwi and basil seeds",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,1,1
DRUNKEN MONKEY,Dry Fruit Smoothie Bowl Lite,"A wholesome bowl from the deserts of sahara packed with dates, figs, cashews, almonds, blended with apple, chikoo, coconut milk, banana, topped with granola, pumpkin seeds and pecan nuts",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,1,2
DRUNKEN MONKEY,Tropical Characoal Smoothie Bowl Lite,"A luscious goodness bowl from the tropics with pineapple, pomegranate, chikoo, blended with apple, banana, infused by activated charcoal, topped with kiwi and coconut",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,1,1
DRUNKEN MONKEY,Spinach & Beet Smoothie Bowl Lite,"A lush and divine bowl of spinach, beetroot, apple, strawberry, blended with coconut milk, sunflower seeds, banana, topped with kiwi, pumpkin seeds, basil seeds and chia seeds.",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,1,1
DRUNKEN MONKEY,Cereal & Malt Smoothie Bowl Lite,"A nutritious bowl with healthy cereal, apple, malt, blended with banana, chikoo with a dash of coconut milk, topped with pomegranate, pecan nuts, cashews, almonds and chia seeds.",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,1,2
DRUNKEN MONKEY,Chocolate & Love Smoothie Bowl Lite,"A sumptuous and healthy bowl packed with love, chocolate, hazelnut, oreo, blended with apple, chikoo, banana, coconut milk, topped with cashews, almonds, pumpkin seeds and chia seeds.",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,2,1
DRUNKEN MONKEY,Mango The Dark Night Smoothie Bowl Lite,"A rare combination of mango infused with activated charcoal, blended with pineapple, chikoo, banana, topped with coconut, pomegranate and kiwi",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,2,1
DRUNKEN MONKEY,Mango The Emperors Smoothie Bowl Lite,"A regal bowl of mango 'the king of fruits’, blended with apple, chikoo, coconut milk, banana, topped with kiwi, pomegranate and basil seeds",,,,0,0,139,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,2,1
DRUNKEN MONKEY,Red Sunflower Smoothie Bowl Regular,"An exquisite bowl of strawberries, beetroot, pomegranate, blended with apple, banana, pineapple, coconut milk, topped with sunflower seeds, kiwi and basil seeds",,,,0,0,249,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,2,1
DRUNKEN MONKEY,Dry Fruit Smoothie Bowl Regular,"A wholesome bowl from the deserts of sahara packed with dates, figs, cashews, almonds, blended with apple, chikoo, coconut milk, banana, topped with granola, pumpkin seeds and pecan nuts",,,,0,0,249,veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Smoothie Bowls,,0,,2,1
